1075.9,1058.9,1178.1
1131,1075.9,1196.5
1097.6,1131,1210
1122.8,1097.6,1207.9
1091.4,1122.8,1225.8
1103.9,1091.4,1235.8
1110.5,1103.9,1238.5
1113.6,1110.5,1238.5
1135.1,1113.6,1252
1140.4,1135.1,1276.1
1180.5,1140.4,1300.5
1194.9,1180.5,1317.5
1202.5,1194.9,1336.3
1199.8,1202.5,1330.2
1191.8,1199.8,1325.9
1196.2,1191.8,1330.3
1211.3,1196.2,1327.9
1227.3,1211.3,1344.2
1252.6,1227.3,1373.6
1280.1,1252.6,1392.7
1304.3,1280.1,1423.3
1320.3,1304.3,1451.1
1336.7,1320.3,1468.1
1339.2,1336.7,1480.9
1343.7,1339.2,1497.8
1346.8,1343.7,1504.1
1365.3,1346.8,1526.5
1374.2,1365.3,1527.5
1376.5,1374.2,1538.6
1387.7,1376.5,1548.7
1388.8,1387.7,1543.1
1370.1,1388.8,1524.7
1380.9,1370.1,1534.1
1402.3,1380.9,1568.1
1418.8,1402.3,1588
1445.2,1418.8,1599.5
1468.2,1445.2,1629.6
1483.8,1468.2,1627
1485.6,1483.8,1639.2
1499.2,1485.6,1657.7
1518.1,1499.2,1666.5
1512.1,1518.1,1667.7
1513.5,1512.1,1667.2
1512.8,1513.5,1680.6
1535.2,1512.8,1705.4
1542.9,1535.2,1729.4
1574.2,1542.9,1764.4
1590.6,1574.2,1777.9
1609.9,1590.6,1799.3
1622.9,1609.9,1811.4
1645.9,1622.9,1825.5
1657.1,1645.9,1838.9
1673,1657.1,1857.2
1695.7,1673,1879.2
1710,1695.7,1910.5
1743.8,1710,1947.6
1775,1743.8,1999.4
1807.8,1775,2027.8
1812.8,1807.8,2052.6
1852.5,1812.8,2071.8
1873.2,1852.5,2096.4
1905.3,1873.2,2155.3
1959.3,1905.3,2200.4
1988.6,1959.3,2219.3
1994,1988.6,2224.6
2016.6,1994,2254
2025.1,2016.6,2280.5
2037.3,2025.1,2312.6
2064.6,2037.3,2329.9
2075.2,2064.6,2351.4
2087.9,2075.2,2367.9
2136.2,2087.9,2409.5
2169.6,2136.2,2451.2
2210.7,2169.6,2457.9
2220.4,2210.7,2474.3
2244.8,2220.4,2477.5
2258.8,2244.8,2501.5
2269,2258.8,2550.2
2286.5,2269,2568.1
2300.8,2286.5,2581.9
2312,2300.8,2626
2332.2,2312,2661.1
2324.9,2332.2,2650.9
2369.8,2324.9,2703.5
2391.4,2369.8,2742.6
2409.8,2391.4,2752.9
2449.8,2409.8,2782.1
2482.2,2449.8,2797.6
2527.5,2482.2,2822.9
2565.9,2527.5,2883.6
2626.3,2565.9,2993
2674.2,2626.3,3031.9
2671.4,2674.2,3059.6
2682.5,2671.4,3079.3
2675.6,2682.5,3118.3
2652.4,2675.6,3072.1
2662,2652.4,3045.5
2672.2,2662,3053.3
2628.4,2672.2,3036.7
2648.8,2628.4,3015
2695.4,2648.8,3156.6
2734.7,2695.4,3114.9
2764.6,2734.7,3147.6
2824.7,2764.6,3201.9
2850.9,2824.7,3229
2880.3,2850.9,3259.7
2919.6,2880.3,3283.5
2954.7,2919.6,3305.4
2970.5,2954.7,3326.8
2999.1,2970.5,3376.5
3044,2999.1,3433.8
3060.8,3044,3466.3
3127,3060.8,3513
3143.1,3127,3548.1
3167.8,3143.1,3582.6
3188.6,3167.8,3620.7
3184.3,3188.6,3607.1
3213.9,3184.3,3628.8
3225.7,3213.9,3657.8
3222.4,3225.7,3678.5
3149.2,3222.4,3612.2
3181.2,3149.2,3637.6
3219.4,3181.2,3703.8
3233.1,3219.4,3713.5
3235.5,3233.1,3696.6
3250.5,3235.5,3777
3225,3250.5,3777.2
3244.3,3225,3769.4
3253.4,3244.3,3791.4
3274.6,3253.4,3799.4
3329.6,3274.6,3806.4
3360.1,3329.6,3831.2
3430.1,3360.1,3857.8
3484.7,3430.1,3928.6
3542.2,3484.7,4010.2
3579.7,3542.2,4103
3628.3,3579.7,4182.4
3653.5,3628.3,4258.8
3700.9,3653.5,4286.1
3756.8,3700.9,4287.6
3791.5,3756.8,4368.7
3860.9,3791.5,4346.6
3874.2,3860.9,4388.3
3907.9,3874.2,4444.5
3950.4,3907.9,4489.3
